time,fps,ft_p50_ms,ft_p95_ms,ft_max_ms,inputs,in2present_p50_ms,in2present_p95_ms,cpu_pct,mem_gb
2026-07-14T19:26:08Z,186.3,4.89,9.07,10.99,0,0.0,0.0,0,0.30
2026-07-14T19:26:09Z,143.0,6.95,7.98,13.16,0,0.0,0.0,0,0.30
2026-07-14T19:26:10Z,141.8,6.94,7.57,12.90,0,0.0,0.0,1,0.30
2026-07-14T19:26:11Z,145.2,6.92,7.80,11.84,0,0.0,0.0,0,0.30
2026-07-14T19:26:12Z,177.0,5.19,8.71,9.89,0,0.0,0.0,0,0.30
2026-07-14T19:26:13Z,146.0,6.94,7.59,10.49,0,0.0,0.0,1,0.30
2026-07-14T19:26:14Z,145.0,6.94,7.43,11.70,0,0.0,0.0,0,0.30
2026-07-14T19:26:15Z,171.0,5.35,9.06,12.22,0,0.0,0.0,0,0.30
2026-07-14T19:26:16Z,145.0,6.95,7.18,8.85,0,0.0,0.0,0,0.30
2026-07-14T19:26:17Z,138.0,6.94,8.68,26.16,0,0.0,0.0,11,0.30
2026-07-14T19:26:18Z,142.0,6.93,7.63,30.43,0,0.0,0.0,11,0.30
